run,epoch,time,accuracy
Ludwig+LibShuffle,1,751,0.648
Ludwig+LibShuffle,2,1273,0.6585
Ludwig+LibShuffle,3,1794,0.6815
Ludwig+LibShuffle,4,2314,0.6811
Ludwig+LibShuffle,5,2830,0.685
Ludwig+LibShuffle,6,3352,0.6819
Ludwig+LibShuffle,7,3874,0.6905
Ludwig+LibShuffle,8,4391,0.7112
Ludwig+LibShuffle,9,4908,0.7288
Ludwig+LibShuffle,10,5430,0.7435
Ludwig+LibShuffle,11,5952,0.7453
Ludwig+LibShuffle,12,6469,0.7514
Ludwig+LibShuffle,13,6986,0.7537
Ludwig+LibShuffle,14,7506,0.7553
Ludwig+LibShuffle,15,8021,0.7558
Ludwig+LibShuffle,16,8541,0.7577
Ludwig+LibShuffle,17,9062,0.7581
Ludwig+LibShuffle,18,9581,0.7588
Ludwig+LibShuffle,19,10102,0.7591
Ludwig+LibShuffle,20,10625,0.7602
Ludwig+Petastorm,1,1538,0.6551
Ludwig+Petastorm,2,2795,0.6603
Ludwig+Petastorm,3,4047,0.6622
Ludwig+Petastorm,4,5313,0.6655
Ludwig+Petastorm,5,6570,0.6547
Ludwig+Petastorm,6,7830,0.6637
Ludwig+Petastorm,7,9086,0.6659
Ludwig+Petastorm,8,10343,0.6662
Ludwig+Petastorm,9,11599,0.6754
Ludwig+Petastorm,10,12856,0.6839
Ludwig+Petastorm,11,14112,0.6839
Ludwig+Petastorm,12,15385,0.7048
Ludwig+Petastorm,13,16685,0.6687
Ludwig+Petastorm,14,17951,0.6732
Ludwig+Petastorm,15,19202,0.6801
Ludwig+Petastorm,16,20456,0.6843
Ludwig+Petastorm,17,21710,0.6842
Ludwig+Petastorm,18,22969,0.7102
Ludwig+Petastorm,19,24261,0.68
Ludwig+Petastorm,20,25560,0.6842
